,Title,Year,imdbID,Type,Poster
0,Pokémon: Detective Pikachu,2019,tt5884052,movie,https://m.media-amazon.com/images/M/MV5BNDU4Mzc3NzE5NV5BMl5BanBnXkFtZTgwMzE1NzI1NzM@._V1_SX300.jpg
1,Pokémon,1997–2023,tt0168366,series,https://m.media-amazon.com/images/M/MV5BMzE0ZDU1MzQtNTNlYS00YjNlLWE2ODktZmFmNDYzMTBlZTBmXkEyXkFqcGc@._V1_SX300.jpg
2,Pokémon: The First Movie - Mewtwo Strikes Back,1998,tt0190641,movie,https://m.media-amazon.com/images/M/MV5BNDg0ZDk2N2QtZDQzYi00ZTljLWExODgtZWQ2Y2YzZTA1NjVjXkEyXkFqcGc@._V1_SX300.jpg
3,Pokémon the Movie 2000,1999,tt0210234,movie,https://m.media-amazon.com/images/M/MV5BOTE0NzY5MGUtZDdjMi00OTMyLThiYmEtOTc5NWY0NTE3NDA0XkEyXkFqcGc@._V1_SX300.jpg
4,Pokémon 3 the Movie: Spell of the Unown,2000,tt0235679,movie,https://m.media-amazon.com/images/M/MV5BMTk0NzM3MDY1OV5BMl5BanBnXkFtZTYwNTkwODc5._V1_SX300.jpg
5,Pokemon 4Ever: Celebi - Voice of the Forest,2001,tt0287635,movie,https://m.media-amazon.com/images/M/MV5BZjgyMzI2ODgtNGEyNC00N2U0LTgzMDQtMzgwMDI5YWFlYTliXkEyXkFqcGc@._V1_SX300.jpg
6,Pokémon the Movie: I Choose You!,2017,tt6595896,movie,https://m.media-amazon.com/images/M/MV5BYTI5M2RmMWUtOGFlMC00M2YxLThiZjUtMjZkNjI3NWQ5NjkwXkEyXkFqcGc@._V1_SX300.jpg
7,Pokémon Heroes,2002,tt0347791,movie,https://m.media-amazon.com/images/M/MV5BYWJlMGQxNDYtZTc5NC00MzlhLWI1MTItZmU1NjY1MTRlZjFjXkEyXkFqcGc@._V1_SX300.jpg
8,Pokémon: Mewtwo Strikes Back - Evolution,2019,tt8856470,movie,https://m.media-amazon.com/images/M/MV5BZDY0NmYyNmYtZDdjYy00M2IyLThiNjctZGYwN2EzNmIzN2I1XkEyXkFqcGc@._V1_SX300.jpg
9,Pokémon: Lucario and the Mystery of Mew,2005,tt0875609,movie,https://m.media-amazon.com/images/M/MV5BMTUxOTcwNjAwMl5BMl5BanBnXkFtZTgwMjc2MzQ2NjE@._V1_SX300.jpg
